subject,block,duration_ms
1,instructions,22520
1,prequiz,11407
1,0,276680
1,1,86466
1,2,86375
1,3,173954
1,4,71453
1,5,79794
1,6,120640
1,7,79178
1,8,80802
1,9,65334
1,postquiz,33050
2,instructions,462918
2,prequiz,96855
2,0,498888
2,1,215303
2,2,769445
2,3,296588
2,4,339748
2,5,253262
2,6,136588
2,7,419339
2,8,406581
2,9,111268
2,postquiz,158956
3,instructions,1150999
3,prequiz,839686
3,0,1391813
3,1,341488
3,2,1259350
3,3,417788
3,4,189880
3,5,439020
3,6,212563
3,7,400421
3,8,298872
3,9,297634
3,postquiz,87340
4,instructions,231839
4,prequiz,29580
4,0,998968
4,1,113488
4,2,246619
4,3,132079
4,4,203383
4,5,205800
4,6,226550
4,7,221961
4,8,319378
4,9,402787
4,postquiz,57854
5,instructions,486510
5,prequiz,358036
5,0,361692
5,1,326529
5,2,221852
5,3,379739
5,4,184417
5,5,197628
5,6,166464
5,7,256485
5,8,190290
5,9,149956
5,postquiz,62476
6,instructions,718089
6,prequiz,724390
6,0,394081
6,1,439747
6,2,252074
6,3,184521
6,4,161570
6,5,113728
6,6,89366
6,7,117833
6,8,79579
6,9,126235
6,postquiz,50753
7,instructions,9138
7,prequiz,144350
7,0,274380
7,1,208051
7,2,434305
7,3,378550
7,4,317803
7,5,355259
7,6,275564
7,7,230628
7,8,398306
7,9,376750
7,postquiz,95844
8,instructions,2015299
8,prequiz,1109231
8,0,668634
8,1,195447
8,2,178975
8,3,78583
8,4,311267
8,5,103484
8,6,247277
8,7,231376
8,8,119192
8,9,173836
8,postquiz,75198
9,instructions,285301
9,prequiz,157613
9,0,448094
9,1,857312
9,2,302406
9,3,592463
9,4,316319
9,5,486554
9,6,298183
9,7,267362
9,8,214657
9,9,274168
9,postquiz,97469
10,instructions,784058
10,prequiz,671506
10,0,441556
10,1,443546
10,2,347679
10,3,174396
10,4,223324
10,5,174578
10,6,109248
10,7,124693
10,8,89223
10,9,142917
10,postquiz,72910
11,instructions,154110
11,prequiz,28893
11,0,846244
11,1,144866
11,2,232407
11,3,231076
11,4,166494
11,5,510185
11,6,161556
11,7,203782
11,8,86310
11,9,172761
11,postquiz,79206
12,instructions,380071
12,prequiz,38615
12,0,921935
12,1,452565
12,2,443034
12,3,670395
12,4,801153
12,5,445630
12,6,245315
12,7,326092
12,8,681219
12,9,698904
12,postquiz,81817
13,instructions,123139
13,prequiz,31465
13,0,379802
13,1,388810
13,2,191523
13,3,159792
13,4,254321
13,5,278898
13,6,303514
13,7,128402
13,8,162572
13,9,189616
13,postquiz,87613
14,instructions,1195959
14,prequiz,1169009
14,0,611057
14,1,550717
14,2,397058
14,3,329401
14,4,852347
14,5,615095
14,6,277613
14,7,246290
14,8,262958
14,9,206997
14,postquiz,55391
15,instructions,198452
15,prequiz,21915
15,0,363176
15,1,190608
15,2,97020
15,3,139843
15,4,271674
15,5,76169
15,6,130536
15,7,112350
15,8,201682
15,9,76827
15,postquiz,44075
16,instructions,10514
16,prequiz,13233
16,0,110922
16,1,140170
16,2,109100
16,3,107383
16,4,107047
16,5,109602
16,6,101919
16,7,126422
16,8,103605
16,9,107745
16,postquiz,29127
17,instructions,282512
17,prequiz,60647
17,0,551147
17,1,469611
17,2,861165
17,3,762740
17,4,765231
17,5,821249
17,6,711799
17,7,179809
17,8,957167
17,9,240604
17,postquiz,49211
18,instructions,5252
18,prequiz,7184
18,0,265295
18,1,219426
18,2,189360
18,3,180727
18,4,182778
18,5,166842
18,6,162214
18,7,93062
18,8,93733
18,9,98019
18,postquiz,41028
19,instructions,917590
19,prequiz,107217
19,0,548635
19,1,281640
19,2,117779
19,3,1094529
19,4,237901
19,5,119572
19,6,241093
19,7,404501
19,8,149283
19,9,330447
19,postquiz,63575
20,instructions,308109
20,prequiz,41162
20,0,-2984494
20,1,447701
20,2,625265
20,3,508333
20,4,1110800
20,5,514243
20,6,303607
20,7,-3276763
20,8,104743
20,9,227072
20,postquiz,81496
21,instructions,509871
21,prequiz,437464
21,0,408574
21,1,466642
21,2,228744
21,3,179625
21,4,161210
21,5,223624
21,6,141163
21,7,248409
21,8,168606
21,9,198371
21,postquiz,60481
22,instructions,260695
22,prequiz,27161
22,0,176816
22,1,689000
22,2,410296
22,3,290321
22,4,438224
22,5,898696
22,6,68752
22,7,107330
22,8,95600
22,9,471867
22,postquiz,34769
23,instructions,212323
23,prequiz,47458
23,0,1217819
23,1,192898
23,2,848010
23,3,168635
23,4,196354
23,5,302695
23,6,1132861
23,7,332707
23,8,356371
23,9,455562
23,postquiz,101447
24,instructions,10661
24,prequiz,15215
24,0,1013668
24,1,1781077
24,2,97104
24,3,342405
24,4,3409410
24,5,545168
24,6,225491
24,7,569632
24,8,285973
24,9,322033
24,postquiz,65397
25,instructions,1374218
25,prequiz,1359440
25,0,456978
25,1,1281658
25,2,831261
25,3,273814
25,4,563411
25,5,275348
25,6,314137
25,7,342777
25,8,211912
25,9,296706
25,postquiz,115319
26,instructions,8598
26,prequiz,10690
26,0,312111
26,1,394858
26,2,285538
26,3,164296
26,4,309267
26,5,362809
26,6,456403
26,7,313662
26,8,407351
26,9,380313
26,postquiz,272338
27,instructions,1488378
27,prequiz,31510
27,0,308837
27,1,4674135
27,2,552663
27,3,340224
27,4,277630
27,5,141092
27,6,817971
27,7,1289443
27,8,178755
27,9,80528
27,postquiz,61893
28,instructions,2311932
28,prequiz,2257037
28,0,309742
28,1,157808
28,2,112890
28,3,32963
28,4,257041
28,5,136086
28,6,83178
28,7,254904
28,8,100762
28,9,373617
28,postquiz,33039
29,instructions,133822
29,prequiz,25423
29,0,827507
29,1,431395
29,2,183990
29,3,334355
29,4,798369
29,5,178914
29,6,421776
29,7,442813
29,8,269243
29,9,241595
29,postquiz,115171
30,instructions,194132
30,prequiz,118057
30,0,897229
30,1,1062169
30,2,753207
30,3,571254
30,4,249539
30,5,595955
30,6,97516
30,7,462100
30,8,167226
30,9,131112
30,postquiz,117758
31,instructions,497089
31,prequiz,202848
31,0,1100658
31,1,557643
31,2,365018
31,3,315678
31,4,857276
31,5,403963
31,6,138031
31,7,231518
31,8,474230
31,9,356967
31,postquiz,52858
32,instructions,272115
32,prequiz,10550
32,0,339700
32,1,357446
32,2,281848
32,3,267109
32,4,138354
32,5,316943
32,6,129195
32,7,123397
32,8,149411
32,9,102134
32,postquiz,29770
33,instructions,5804
33,prequiz,11463
33,0,309232
33,1,191326
33,2,166485
33,3,132871
33,4,129333
33,5,134353
33,6,132682
33,7,324761
33,8,327435
33,9,219983
33,postquiz,57245
34,instructions,245390
34,prequiz,19093
34,0,327027
34,1,168593
34,2,291698
34,3,142396
34,4,213896
34,5,254599
34,6,209106
34,7,75423
34,8,112152
34,9,223496
34,postquiz,179236
35,instructions,383137
35,prequiz,63977
35,0,605052
35,1,1008017
35,2,689601
35,3,101202
35,4,317479
35,5,303509
35,6,305105
