"subject","postquiz_experience","coded_experience"
1,6,0
3,"very useful to the task instruction function",0
4,"to be a better developer",0
5,1,0
7,"A programming for the best presented in the computer.",0
8,"good",0
9,1,0
10,"nice",0
14,"done",0
21,50,0
23,"very easy for me",0
24,"i will try my best",0
44,"ten",0
50,"good",0
51,40,0
53,50,0
54,"very good",0
64,50,0
67,109,0
68,"yes",0
71,"very much",0
75,"Very helpful.",0
76,1,0
77,"NA",0
84,11,0
90,"Good",0
92,"NA",0
93,"many",0
96,"thanks you",0
101,1,0
102,"the programming is nice",0
116,"That was amazing programming.",0
117,"thanks",0
118,"very much",0
121,4,0
123,"Good program.",0
124,5,0
131,"GOOD",0
132,10,0
137,"Very well.",0
148,10,0
154,"very nice",0
156,"Develop programer",0
167,"very good.",0
177,100,0
179,"good",0
183,"the computer programming well",0
185,"NA",0
186,"ten",0
189,85,0
190,5,0
191,"yes,total different task",0
193,"Ten",0
195,"very well.",0
204,2,0
210,"YES",0
211,"i have using a Windows 10 portal. Say something is difficult task as i complete.",0
218,25,0
221,10,0
222,"Windows 10 is working on the study",0
225,109,0
234,3,0
244,"The survey on very interest and understand",0
246,10,0
247,1,0
248,"Good and program developing process",0
249,"Good",0
254,"very good",0
258,"its very well",0
260,43,0
264,"NA",0
266,"I work is good.",0
267,"some questions solved",0
268,"NA",0
271,"I working to the best presented in the finishing.",0
282,"yes",0
283,"Ten",0
290,"90%",0
291,10,0
292,"good",0
306,"Yes",0
308,"I think one",0
309,"interesting",0
310,"good",0
321,20,0
323,1,0
326,"YES",0
329,"good",0
340,"i am honestly well done  computer programming",0
341,"ten",0
343,"it is very good routines experiment",0
344,5,0
349,10,0
351,"very nice",0
363,"they are done almost in this survey",0
370,"Learn about the education, practical steps, and experience you'll need to become a Computer Programmer.",0
374,"done",0
375,"Very helpful.",0
376,11,0
377,"yes good",0
380,5,0
386,"Taken the recent time of programming will know",0
387,"yes",0
388,"GOOD",0
389,"few answers correct",0
391,2,0
392,"Well done",0
394,"Ten",0
399,5,0
403,"good",0
405,10,0
407,"GOOD",0
416,"I am fully understand the instruction and how to do this task information gather to find the solution.",0
417,"Very good programming",0
421,100,0
423,"good level programming it him this work",0
424,88,0
425,"This program is very best",0
433,"good",0
440,3,0
441,2,0
444,"Good activiyt",0
446,"It is some difficult in computer programming.",0
461,"full",0
462,1,0
463,"very interests on program",0
470,"NA",0
473,5,0
479,"it is easy study",0
484,"good",0
495,"The survey on very interest and understanding question",0
83,"only regular class in the office",0
165,"Good",0
2,"none",1
6,"no",1
11,"None, I dropped out of my coding class in college because it was too hard lol",1
17,"none",1
20,"none",1
22,"none",1
26,"nothing",1
27,"none",1
28,"None",1
29,"none",1
35,"NONE",1
36,"none",1
39,"None",1
43,"None",1
46,"none",1
55,"None",1
57,"None",1
58,"none",1
61,"I have never programmed",1
65,"none",1
72,"None",1
78,"None",1
79,"none",1
85,"None",1
86,"None.",1
89,"NONE",1
97,"none",1
98,"None.",1
104,"none",1
105,"none",1
109,"none",1
110,"none",1
113,"None",1
115,"None. I have no experience with computer programming.",1
126,"none",1
128,"no",1
129,"None",1
130,"None",1
134,"I have zero experience programming computers.",1
136,"none",1
139,"none",1
141,"none",1
143,"none",1
144,"none",1
147,"NONE",1
151,"none",1
157,"none",1
168,"none",1
175,"none",1
178,"None.",1
181,"none",1
197,"None",1
198,"No programming experience.",1
199,"nonw",1
200,"NOENE",1
212,"None",1
213,"None",1
214,"none",1
215,"None",1
220,"No experience",1
223,"None!",1
224,"NONE",1
226,"no",1
227,"none",1
229,"none",1
230,"none",1
232,"None.",1
235,"None",1
237,"None",1
238,"None",1
240,"None",1
241,"none",1
242,"None",1
250,"None",1
257,"none",1
259,"None",1
261,"none",1
262,"none",1
263,"none",1
265,"None",1
272,"None",1
274,"none",1
277,"none",1
287,"none",1
293,"None",1
294,"None.",1
299,"NONE",1
304,"None.",1
305,"none",1
312,"none",1
314,"none",1
316,"None.",1
317,"none",1
325,"I have no experience with programming anything.",1
328,"None",1
334,"None",1
