subject,beginhit,beginexp,endhit,bonus,browser,platform,codeversion,status,postquiz_difficulty,postquiz_engagement,postquiz_gender,postquiz_dob,postquiz_experience,postquiz_comments,age_yrs,total_time_s
1,2020-07-13T14:53:22Z,2020-07-13T14:53:57Z,2020-07-13T16:18:41Z,0.21,chrome,windows,0.0.7,7,6,7,male,1987-08-10,6,good,32.891,5119
2,2020-07-10T15:59:06Z,2020-07-10T16:06:56Z,2020-07-10T17:09:20Z,0.5,chrome,windows,0.0.7,7,7,6,male,1993-11-05,none,no it is very interesting,26.653,4214
3,2020-07-10T17:19:07Z,2020-07-10T17:38:25Z,2020-07-10T19:09:35Z,0.47,chrome,windows,0.0.7,7,6,6,male,1989-12-26,very useful to the task instruction function,good,30.514,6628
4,2020-07-10T17:35:31Z,2020-07-10T17:39:41Z,2020-07-10T18:32:41Z,0.42,chrome,windows,0.0.7,7,7,7,male,1984-02-02,to be a better developer,very good survey,36.41,3430
5,2020-07-13T14:15:30Z,2020-07-13T14:24:34Z,2020-07-13T15:08:40Z,0.32,chrome,windows,0.0.7,7,4,4,female,1994-03-30,1,nothing,26.255,3190
6,2020-07-14T17:15:44Z,2020-07-14T17:27:51Z,2020-07-14T18:05:41Z,0.4,chrome,windows,0.0.7,7,4,4,male,1962-08-12,no,no,57.885,2997
7,2020-07-10T20:23:28Z,2020-07-10T20:23:46Z,2020-07-10T21:22:25Z,0.45,chrome,windows,0.0.7,7,3,4,male,1989-12-24,A programming for the best presented in the computer.,good,30.519,3537
8,2020-07-13T13:29:29Z,2020-07-13T14:58:17Z,2020-07-13T15:43:20Z,0.23,chrome,windows,0.0.7,7,1,4,male,1985-12-23,good,NA,34.522,8031
9,2020-07-14T15:40:19Z,2020-07-14T15:45:15Z,2020-07-14T17:00:26Z,0.31,chrome,windows,0.0.7,7,6,7,male,1967-02-25,1,NA,53.347,4807
10,2020-07-09T02:11:34Z,2020-07-09T02:24:42Z,2020-07-09T03:05:14Z,0.11,chrome,windows,0.0.6,7,7,7,male,1983-06-02,nice,good,37.079,3220
11,2020-07-14T16:17:40Z,2020-07-14T16:20:17Z,2020-07-14T17:09:13Z,0.82,chrome,chromeos,0.0.7,7,4,6,male,1992-05-22,"None, I dropped out of my coding class in college because it was too hard lol","No technical difficulties, just subtraction difficulties because I'm dumb lol, everything worked well though :)",28.11,3093
12,2020-07-14T15:38:24Z,2020-07-14T15:44:52Z,2020-07-14T17:23:20Z,0.63,chrome,windows,0.0.7,7,2,4,male,1987-02-06,professional developer,no,33.399,6296
13,2020-07-14T18:30:49Z,2020-07-14T18:33:15Z,2020-07-14T19:17:25Z,0.1,chrome,windows,0.0.7,7,7,7,female,NA,1,nice,NA,2796
14,2020-07-14T22:42:09Z,2020-07-14T23:02:09Z,2020-07-15T00:16:38Z,0.35,chrome,macos,0.0.7,7,6,7,male,1981-10-10,done,Good,38.724,5669
15,2020-07-08T17:25:42Z,2020-07-08T17:29:16Z,2020-07-08T17:58:39Z,0.48,chrome,chromeos,0.0.6,7,5,7,male,1985-11-19,very very little,it was good. I would recommend it for sure,34.615,1977
16,2020-07-08T23:37:06Z,2020-07-08T23:37:26Z,2020-07-08T23:57:31Z,0,chrome,windows,0.0.6,5,2,2,male,NA,very easily,none,NA,1225
17,2020-07-14T19:10:36Z,2020-07-14T19:15:20Z,2020-07-14T21:03:47Z,0.71,chrome,windows,0.0.7,7,7,6,male,1984-05-11,none,It was a challenging HIT. I would recommend it to others.,36.14,6791
18,2020-07-10T17:23:50Z,2020-07-10T17:23:59Z,2020-07-10T17:52:34Z,0.05,chrome,windows,0.0.7,7,5,5,female,1999-07-03,nothing,good well,20.995,1724
19,2020-07-08T16:59:38Z,2020-07-08T17:15:01Z,2020-07-08T18:15:24Z,0.72,chrome,windows,0.0.6,7,4,7,female,1968-03-16,"I took a few computer programming classes in college, but only beginner courses.","The hit went fine.  Thank you!  I found it fun, like solving a puzzle.",52.293,4546
20,2020-07-10T18:45:04Z,2020-07-10T18:50:23Z,2020-07-10T20:11:47Z,0.8,chrome,windows,0.0.7,7,4,7,female,1975-06-18,none,the hit was too good and intresting and like to complete it again,45.036,5203
21,2020-07-08T16:51:56Z,2020-07-08T17:00:46Z,2020-07-08T17:43:29Z,0.23,chrome,windows,0.0.6,7,7,7,female,1989-07-08,50,very well,30.981,3093
22,2020-07-10T15:37:16Z,2020-07-10T15:41:39Z,2020-07-10T16:43:56Z,0.6,chrome,windows,0.0.7,7,7,6,male,1982-06-01,none,no,38.082,4000
23,2020-07-10T15:38:14Z,2020-07-10T15:41:53Z,2020-07-10T17:12:55Z,0.75,chrome,windows,0.0.7,7,2,4,male,1984-10-12,very easy for me,Very interesting,35.719,5681
24,2020-07-14T21:34:21Z,2020-07-14T21:34:34Z,2020-07-14T23:59:15Z,0.53,chrome,windows,0.0.7,7,6,4,male,1982-03-25,i will try my best,no technical problems,38.268,8694
25,2020-07-08T21:51:14Z,2020-07-08T22:14:17Z,2020-07-08T23:53:26Z,0.42,chrome,windows,0.0.6,5,4,5,female,1991-01-06,App developer,Good and useful. No issue in survey,29.484,7332
26,2020-07-14T21:35:49Z,2020-07-14T21:36:04Z,2020-07-14T22:37:29Z,0.69,chrome,windows,0.0.7,7,6,7,female,1988-07-14,nothing,good survey,31.964,3700
27,2020-07-10T15:38:22Z,2020-07-10T16:03:21Z,2020-07-10T18:29:48Z,0.83,chrome,windows,0.0.7,7,4,7,male,1988-10-11,none,no technical difficulties. very engaging and fun to work with numbers. would recommend it,31.721,10286
28,2020-07-13T14:29:01Z,2020-07-13T15:07:46Z,2020-07-13T15:40:16Z,0.52,chrome,windows,0.0.7,7,4,4,male,1992-07-15,None,good,27.962,4275
29,2020-07-14T15:49:21Z,2020-07-14T15:51:43Z,2020-07-14T17:03:21Z,0.7,chrome,windows,0.0.7,7,4,3,female,1991-06-05,none,good work,29.071,4440
30,2020-07-13T14:25:25Z,2020-07-13T14:29:09Z,2020-07-13T15:54:58Z,0.53,chrome,windows,0.0.7,7,4,6,male,1957-02-26,104,good,63.344,5373
31,2020-07-13T13:55:10Z,2020-07-13T14:23:49Z,2020-07-13T15:46:36Z,0.61,chrome,windows,0.0.7,7,4,7,male,1985-04-11,c and c++,Nice survey,35.222,6686
32,2020-07-08T19:56:17Z,2020-07-08T20:00:58Z,2020-07-08T20:38:52Z,0.1,chrome,windows,0.0.6,7,6,4,male,NA,none.,no,NA,2555
33,2020-07-14T16:47:26Z,2020-07-14T16:56:16Z,2020-07-14T17:32:35Z,0.03,chrome,windows,0.0.7,7,3,4,male,1999-04-19,good,nothing,21.2,2709
34,2020-07-10T19:13:34Z,2020-07-10T19:17:43Z,2020-07-10T19:55:00Z,0.5,chrome,windows,0.0.7,7,6,5,male,1989-03-01,"I majored in Information Systems in college. So I did many programming classes for my education, but I haven't actually done any programming in around 7 years so I have forgotten a lot of it.","It was frustrating when I couldn't find out any pattern at all. Especially since I was worried I would be rejected for just guessing on the sets that I literally had 0 idea on since we were threatened with rejections for not putting forth effort. I really was trying, but there were some sets that I had absolutely zero clue and was just guessing. I would recommend it to others if they are willing to be frustrated. It was fun solving the sets that I could actually find a pattern for.",31.334,2486
35,2020-07-08T16:57:48Z,2020-07-08T17:04:13Z,2020-07-08T18:25:43Z,0.5,chrome,windows,0.0.6,7,3,7,male,1975-08-24,NONE,NICE HIT.I ENJOYED WELL.THANKS FOR INVITE ME.,44.852,5275
36,2020-07-08T16:51:02Z,2020-07-08T16:54:05Z,2020-07-08T17:42:03Z,0.17,chrome,windows,0.0.6,7,6,6,female,1981-01-01,none,"hard, but no difficulties",39.497,3061
37,2020-07-08T18:22:49Z,2020-07-08T18:44:07Z,2020-07-08T19:54:48Z,0.03,chrome,windows,0.0.6,7,5,4,female,1973-07-19,110,"nothing to else but i don,t know some rules",46.951,5519
38,2020-07-13T14:20:30Z,2020-07-13T14:28:34Z,2020-07-13T15:51:39Z,0.04,chrome,windows,0.0.7,7,2,2,female,1984-09-06,good,nothing,35.817,5469
39,2020-07-10T17:34:09Z,2020-07-10T17:35:09Z,2020-07-10T18:05:39Z,0.65,chrome,macos,0.0.7,7,5,6,female,1988-08-03,None,N/A,31.91,1890
40,2020-07-14T16:13:33Z,2020-07-14T16:13:43Z,2020-07-14T16:30:34Z,0.28,chrome,windows,0.0.7,7,NA,5,male,1985-12-18,good,good,34.536,1021
41,2020-07-14T20:10:58Z,2020-07-14T20:26:22Z,2020-07-14T20:51:24Z,0.01,chrome,windows,0.0.7,7,6,6,male,1990-02-09,Computer Information Systems Classes That Focus On Hands-On Learning. Engineering Technology. Transfer Credits. Computer Networking. Graduate Certificates. Nationwide Locations.,good,30.391,2426
42,2020-07-10T16:23:54Z,2020-07-10T16:34:48Z,2020-07-10T16:49:15Z,0.01,chrome,windows,0.0.7,7,4,3,male,1998-07-14,THE HIT VERY NICE PROGRAMMING,VERY NICE,21.964,1521
43,2020-07-10T15:39:00Z,2020-07-10T15:44:28Z,2020-07-10T16:50:14Z,0.47,chrome,windows,0.0.7,7,5,7,female,1969-02-01,None,No difficulties,51.413,4274
44,2020-07-14T13:34:02Z,2020-07-14T13:34:55Z,2020-07-14T14:50:28Z,0.52,chrome,windows,0.0.7,7,4,5,male,1979-11-23,ten,i like this survey,40.604,4586
45,2020-07-13T14:23:50Z,2020-07-13T14:33:26Z,2020-07-13T15:23:14Z,0.52,chrome,windows,0.0.7,7,4,4,NA,1988-08-25,Software programmer,Nothing,31.85,3564
46,2020-07-08T17:05:55Z,2020-07-08T17:18:50Z,2020-07-08T18:06:31Z,0.58,chrome,windows,0.0.6,7,3,2,female,1980-07-13,none,none,39.967,3636
47,2020-07-15T02:31:46Z,2020-07-15T02:32:47Z,2020-07-15T04:26:32Z,0.43,chrome,windows,0.0.7,5,2,7,male,1998-07-13,"i am honestly , i know very good",very good,21.967,6886
48,2020-07-08T18:35:10Z,2020-07-08T18:37:14Z,2020-07-08T19:20:10Z,0.7,chrome,windows,0.0.6,7,6,7,male,1975-03-08,Did light website updating over a decade ago.  I work in Tech support and got an MCSE in 2002 but haven't really done any programming per se.  I do edit settings in computers but this is simple .txt editing oftentimes.,Intense but enjoyable (when not frustrating ;)  No technical issues.  I would recommend it as long as people can think analytically and aren't scared of numbers.,45.315,2700
49,2020-07-14T18:30:53Z,2020-07-14T18:31:20Z,2020-07-14T19:02:00Z,0,chrome,windows,0.0.7,5,6,2,male,1988-03-08,10,no,32.315,1867
50,2020-07-13T13:19:20Z,2020-07-13T14:22:52Z,2020-07-13T15:58:25Z,0.63,chrome,windows,0.0.7,7,5,6,female,1984-08-10,good,no,35.891,9545
51,2020-07-14T18:46:11Z,2020-07-14T18:52:06Z,2020-07-14T19:59:03Z,0.36,chrome,windows,0.0.7,7,5,4,female,1999-09-01,40,good,20.831,4372
52,2020-07-10T18:40:05Z,2020-07-10T18:41:45Z,2020-07-10T19:50:58Z,0.07,chrome,windows,0.0.7,7,5,4,male,1980-05-13,good,good,40.134,4253
53,2020-07-13T14:36:16Z,2020-07-13T14:41:14Z,2020-07-13T16:15:14Z,0.34,chrome,windows,0.0.7,7,7,7,male,NA,50,very well,NA,5938
